FieldName,Type
assess_criteria_multiline,text_multiline
assess_diff1_dx,text
assess_diff1_fa,text
assess_diff2_dx,text
assess_diff2_fa,text
assess_et_context,checkbox
assess_et_med,checkbox
assess_et_primary,checkbox
assess_et_sub,checkbox
assess_primary_dx,text
assess_problem_rep_multiline,text_multiline
assess_ruleouts_multiline,text_multiline
assess_specifiers,text
cont_summary_multiline,text_multiline
mse_affect,text
mse_app_beh,text
mse_cognition,text
mse_content,text
mse_impulse,text
mse_insight,text
mse_judgment,text
mse_mood,text
mse_notes_multiline,text_multiline
mse_perception,text
mse_process,text
mse_speech,text
plan_fu_1w,checkbox
plan_fu_2w,checkbox
plan_fu_48h,checkbox
plan_fu_4w,checkbox
plan_fu_datetime,text
plan_lab_b12,checkbox
plan_lab_cbc,checkbox
plan_lab_cmp,checkbox
plan_lab_ekg,checkbox
plan_lab_other,checkbox
plan_lab_other_text,text
plan_lab_tsh,checkbox
plan_lab_uds,checkbox
plan_loc_ed,checkbox
plan_loc_inpt,checkbox
plan_loc_iop,checkbox
plan_loc_med,checkbox
plan_loc_outpt,checkbox
plan_loc_rationale_multiline,text_multiline
plan_means_no,checkbox
plan_means_yes,checkbox
plan_med1_dose,text
plan_med1_freq,text
plan_med1_ind,text
plan_med1_monitor,text
plan_med1_name,text
plan_med2_dose,text
plan_med2_freq,text
plan_med2_ind,text
plan_med2_monitor,text
plan_med2_name,text
plan_safety_no,checkbox
plan_safety_yes,checkbox
plan_tx_cbt,checkbox
plan_tx_dbt,checkbox
plan_tx_other,checkbox
plan_tx_sup,checkbox
plan_tx_targets,text
plan_tx_tf,checkbox
risk_acute_factors_multiline,text_multiline
risk_hi_intent,text
risk_hi_no,checkbox
risk_hi_plan,text
risk_hi_target,text
risk_hi_yes,checkbox
risk_intent_no,checkbox
risk_intent_unclear,checkbox
risk_intent_yes,checkbox
risk_means_details,text
risk_means_no,checkbox
risk_means_yes,checkbox
risk_nssi_no,checkbox
risk_nssi_yes,checkbox
risk_overall_high,checkbox
risk_overall_low,checkbox
risk_overall_mod,checkbox
risk_pastAttempt_no,checkbox
risk_pastAttempt_yes,checkbox
risk_plan_no,checkbox
risk_plan_yes,checkbox
risk_rationale_multiline,text_multiline
risk_si_active,checkbox
risk_si_none,checkbox
risk_si_passive,checkbox
risk_weapon_access,text
s_cc_multiline,text_multiline
s_fx_mild,checkbox
s_fx_mod,checkbox
s_fx_none,checkbox
s_fx_sev,checkbox
s_hpi_timeline_multiline,text_multiline
s_neuroveg_multiline,text_multiline
s_severity,text
s_sub_last,text
s_sub_no,checkbox
s_sub_yes,checkbox
sx_dep,checkbox
sx_eating,checkbox
sx_gad,checkbox
sx_maniaEver,checkbox
sx_mania_duration,text
sx_mania_hosp,checkbox
sx_mania_imp_marked,checkbox
sx_mania_imp_not,checkbox
sx_mania_key_multiline,text_multiline
sx_ocd,checkbox
sx_panic,checkbox
sx_psychosis,checkbox
sx_ptsd,checkbox
vh_clinician,text
vh_credentials,text
vh_date,text
vh_dob,text
vh_mod_inperson,checkbox
vh_mod_phone,checkbox
vh_mod_video,checkbox
vh_modality,text
vh_mrn,text
vh_time,text
vh_visitType,text
vh_visitType_consult,checkbox
vh_visitType_crisis,checkbox
vh_visitType_followup,checkbox
vh_visitType_initial,checkbox
